@relation stackeroverflow_expertise

@attribute up_votes real
@attribute down_votes real
@attribute vote_score real
@attribute is_accepted {false, true}
@attribute is_active_on_tag {false,true}
@attribute expertise {1,2,3,4,5}

@data
9.0,0.0,1.0,true,true,5
3.0,1.0,0.75,false,true,3
11.0,1.0,0.91,false,true,4
1.0,0.0,1.0,true,false,3
1.0,0.0,1.0,true,true,4
6.0,0.0,1.0,true,true,5
5.0,0.0,1.0,false,true,4
1.0,1.0,0.5,false,false,1
14.0,0.0,1.0,false,true,4
1.0,0.0,1.0,false,true,3
1.0,0.0,1.0,false,true,3
2.0,1.0,0.66,false,false,2
1.0,0.0,1.0,false,true,3
2.0,1.0,0.66,false,false,2
2.0,0.0,1.0,false,true,4
1.0,0.0,1.0,false,true,3
5.0,0.0,1.0,true,true,5
4.0,0.0,1.0,true,true,5
3.0,0.0,1.0,true,true,5
3.0,0.0,1.0,false,true,4
3.0,1.0,0.75,true,true,4
2.0,1.0,0.66,true,false,3
3.0,0.0,1.0,false,true,4
2.0,0.0,1.0,false,true,4
2.0,1.0,0.66,false,true,2
1.0,1.0,0.5,true,true,3
11.0,0.0,1.0,true,true,5
1.0,1.0,0.5,false,false,1
5.0,2.0,0.71,false,false,2
4.0,0.0,1.0,false,true,4
1.0,0.0,1.0,false,true,3
1.0,0.0,1.0,false,true,3
3.0,2.0,0.6,false,true,2
2.0,1.0,0.66,false,true,2
4.0,0.0,1.0,true,true,5
5.0,0.0,1.0,true,true,5
1.0,0.0,1.0,false,true,3
3.0,0.0,1.0,false,true,4
5.0,0.0,1.0,false,true,4
3.0,0.0,1.0,true,true,5
13.0,0.0,1.0,true,true,5
2.0,0.0,1.0,false,true,4
1.0,0.0,1.0,false,true,3
4.0,0.0,1.0,false,true,4
1.0,1.0,0.5,true,false,2
1.0,0.0,1.0,false,true,3
3.0,0.0,1.0,true,true,5
1.0,0.0,1.0,false,true,3
3.0,0.0,1.0,false,true,4
14.0,0.0,1.0,false,true,4
1.0,0.0,1.0,true,true,4
1.0,0.0,1.0,false,true,3
38.0,1.0,0.97,true,false,4
1.0,0.0,1.0,false,false,2
18.0,0.0,1.0,true,true,5
2.0,1.0,0.66,false,true,3
1.0,0.0,1.0,false,true,3
7.0,2.0,0.77,false,true,3
1.0,0.0,1.0,false,false,2
1.0,0.0,1.0,false,true,3
1.0,0.0,1.0,false,true,3
1.0,0.0,1.0,false,false,2
5.0,0.0,1.0,true,true,5
34.0,0.0,1.0,true,true,5
3.0,1.0,0.75,true,true,4
2.0,1.0,0.66,false,true,3
2.0,0.0,1.0,false,true,4
2.0,0.0,1.0,true,true,5
2.0,0.0,1.0,false,true,4
3.0,1.0,0.75,false,true,3
7.0,0.0,1.0,true,true,5
5.0,0.0,1.0,true,true,5
1.0,0.0,1.0,false,true,3
5.0,1.0,0.83,false,true,3
1.0,0.0,1.0,false,true,3
1.0,0.0,1.0,false,true,3
3.0,1.0,0.75,false,false,2
1.0,0.0,1.0,false,true,3
11.0,0.0,1.0,false,true,4
1.0,0.0,1.0,false,true,3
1.0,1.0,0.5,true,true,3
10.0,4.0,0.71,false,false,2
4.0,0.0,1.0,true,true,5
4.0,1.0,0.8,false,true,3
1.0,0.0,1.0,true,false,3
3.0,0.0,1.0,false,true,4
1.0,1.0,0.5,true,true,3
13.0,0.0,1.0,false,true,4
2.0,1.0,0.66,false,false,2
5.0,0.0,1.0,true,true,5
3.0,1.0,0.75,true,true,4
1.0,0.0,1.0,false,true,3
4.0,0.0,1.0,true,true,5
3.0,0.0,1.0,true,true,5
2.0,1.0,0.66,false,true,2
1.0,0.0,1.0,false,true,3
12.0,1.0,0.92,true,true,5
2.0,1.0,0.66,false,true,3
21.0,1.0,0.95,true,false,4
1.0,0.0,1.0,false,true,3
3.0,0.0,1.0,false,true,4
11.0,0.0,1.0,true,true,5
2.0,0.0,1.0,false,true,4
2.0,1.0,0.66,false,true,2
1.0,1.0,0.5,true,false,3
1.0,0.0,1.0,false,true,3
4.0,0.0,1.0,false,true,4
3.0,0.0,1.0,false,true,4
1.0,0.0,1.0,false,true,3
7.0,0.0,1.0,false,true,4
25.0,1.0,0.96,false,false,3
5.0,0.0,1.0,false,true,4
1.0,1.0,0.5,true,false,2
4.0,0.0,1.0,false,true,4
